DATE,IR3TIB01EZM156N
2013-11-01,0.2234
2013-12-01,0.2735
2014-01-01,0.292
2014-02-01,0.2881
2014-03-01,0.3053
2014-04-01,0.3297
2014-05-01,0.3246
2014-06-01,0.2414
2014-07-01,0.205
2014-08-01,0.1916
2014-09-01,0.0971
2014-10-01,0.0826
2014-11-01,0.0809
2014-12-01,0.0809
2015-01-01,0.0627
2015-02-01,0.0482
2015-03-01,0.0272
2015-04-01,0.0047
2015-05-01,-0.0104
2015-06-01,-0.0139
2015-07-01,-0.0187
2015-08-01,-0.0277
2015-09-01,-0.037
2015-10-01,-0.0536
2015-11-01,-0.0876
2015-12-01,-0.1263
2016-01-01,-0.1461
2016-02-01,-0.1836
2016-03-01,-0.2285
2016-04-01,-0.2492
2016-05-01,-0.2572
2016-06-01,-0.2679
2016-07-01,-0.2945
2016-08-01,-0.2982
2016-09-01,-0.3016
2016-10-01,-0.309
2016-11-01,-0.3127
2016-12-01,-0.3158
2017-01-01,-0.3255
2017-02-01,-0.3286
2017-03-01,-0.3293
2017-04-01,-0.3304
2017-05-01,-0.3295
2017-06-01,-0.33
2017-07-01,-0.3304
2017-08-01,-0.3291
2017-09-01,-0.3294
2017-10-01,-0.3295
2017-11-01,-0.329
2017-12-01,-0.3279
2018-01-01,-0.3285
2018-02-01,-0.3285
2018-03-01,-0.3279
2018-04-01,-0.3285
2018-05-01,-0.3252
2018-06-01,-0.322
2018-07-01,-0.3207
2018-08-01,-0.319
2018-09-01,-0.3188
2018-10-01,-0.3177
2018-11-01,-0.3164
2018-12-01,-0.3119
2019-01-01,-0.308
2019-02-01,-0.3084
2019-03-01,-0.3092
2019-04-01,-0.3105
2019-05-01,-0.3119
2019-06-01,-0.3289
2019-07-01,-0.3649
2019-08-01,-0.4077
2019-09-01,-0.4176
2019-10-01,-0.4129
2019-11-01,-0.4013
2019-12-01,-0.3947
2020-01-01,-0.3911
2020-02-01,-0.4088
2020-03-01,-0.4166
2020-04-01,-0.254
2020-05-01,-0.272
2020-06-01,-0.376
2020-07-01,-0.4441
2020-08-01,-0.4797
2020-09-01,-0.4914
2020-10-01,-0.5091
2020-11-01,-0.5209
2020-12-01,-0.5381
2021-01-01,-0.5472
2021-02-01,-0.5411
2021-03-01,-0.5391
2021-04-01,-0.5382
2021-05-01,-0.5401
2021-06-01,-0.5429
2021-07-01,-0.5448
2021-08-01,-0.5476
2021-09-01,-0.545
2021-10-01,-0.5498
2021-11-01,-0.5674
2021-12-01,-0.582
2022-01-01,-0.5601
2022-02-01,-0.5315
2022-03-01,-0.495
2022-04-01,-0.4479
2022-05-01,-0.3857
2022-06-01,-0.2392
2022-07-01,0.0366
2022-08-01,0.3947
2022-09-01,1.0109
2022-10-01,1.4277
2022-11-01,1.8252
2022-12-01,2.0663
2023-01-01,2.3449
